"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"217550_at","217550_at","ATF6",-0.309988674123984,5.59904873806254,-4.30232129694677,0.00022895378225059,0.134257292891839,0.529853793183154
"200740_s_at","200740_s_at","SUMO3",0.670401655649757,8.82651436922153,4.24841554992407,0.000263126543616767,0.150339712087498,0.413573641467654
"209968_s_at","209968_s_at","NCAM1",-0.387740769556402,6.86227292111501,-4.22516916157872,0.000279384048365949,0.155637868743461,0.363439562744841
"218354_at","218354_at","TRAPPC2L",0.413918692616867,7.40129543229209,4.21189320610531,0.000289112024952439,0.157128859805248,0.334812106057347
"207080_s_at","207080_s_at","PYY",-0.171047667127018,4.20537553332072,-4.17868605619966,0.000314941317637128,0.166779955489091,0.263221678403055
"210949_s_at","210949_s_at",NA,0.426452555540566,10.2317576438381,4.16544535712268,0.000325867191671723,0.166779955489091,0.234683490533749
"218018_at","218018_at",NA,0.26597725030564,7.4750529437778,4.16134816895311,0.000329323611790155,0.166779955489091,0.225853574879776
"220339_s_at","220339_s_at","TPSG1",-0.189669359028403,7.29140605673064,-4.14953042682713,0.000339498061434901,0.168111895621198,0.200387526257712
"221426_s_at","221426_s_at","OR3A3",-0.23883920696493,6.62354201904592,-4.14074469390362,0.000347263447108207,0.168218943302439,0.181457730378372
"206366_x_at","206366_x_at","XCL1",-0.228058659924225,5.8452682353764,-4.12464605511047,0.000361951900291413,0.171603706259437,0.146777591066247
"202476_s_at","202476_s_at","TUBGCP2",-0.25768105362469,5.43987243989936,-4.11375275405272,0.0003722384431709,0.172803942274524,0.123315684482752
"211065_x_at","211065_x_at","PFKL",0.25287788656669,8.39916456945317,4.09358756959838,0.000392050236657628,0.178286845376366,0.0798949689116268
"219600_s_at","219600_s_at","TMEM50B",0.687866710089655,6.83159407162956,4.07759161731988,0.000408505288688218,0.178671088862056,0.0454624583207037
"203405_at","203405_at","PSMG1",0.665098284330061,5.29517555326237,4.07718561273705,0.000408931720682352,0.178671088862056,0.0445886333169199
"217013_at","217013_at","AZGP1P1",-0.182385044971823,4.40934841794707,-4.03063617198805,0.000460858961549388,0.189875184831066,-0.0555508599910857
"205321_at","205321_at","EIF2S3",-0.691081002556837,7.1843836125642,-4.012611256448,0.000482672716447411,0.189875184831066,-0.0942999907324245
"200647_x_at","200647_x_at",NA,0.336356662147132,9.98165484486171,4.01094614381762,0.00048473858864234,0.189875184831066,-0.0978787527075378
"220570_at","220570_at","RETN",-0.201735557652508,5.00652313903184,-4.00981117000897,0.000486151732872039,0.189875184831066,-0.100318026514936
"212996_s_at","212996_s_at","URB1",0.275154554261993,5.5331553354118,4.00410637341063,0.000493316598361804,0.189875184831066,-0.11257770718386
"209136_s_at","209136_s_at","USP10",-0.316934633284125,6.46296556471262,-4.00150053356257,0.00049662398351203,0.189875184831066,-0.118177124841893
"220427_at","220427_at","OBSCN",-0.17262971869571,6.09628871680013,-3.99605225240132,0.000503609992842031,0.189875184831066,-0.129883205628423
